"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","38/328","330/25615",0.115151515151515,8.99270140428677,16.6435532477352,5.38835693997112e-25,3.46148049823744e-21,3.46148049823744e-21,"Nip7/Tsr1/Ppan/Ebna1bp2/Wdr74/Rrp15/Nhp2/Heatr1/Ltv1/Grwd1/Tma16/Rrs1/Gar1/Nop16/Krr1/Rbis/Rps19bp1/Chd7/Ftsj3/Rbm34/Bysl/Utp4/Rrp9/Bop1/Cinp/Zfp593/Pno1/Npm3/Dimt1/Riok3/Mrto4/Ddx28/Mak16/Abt1/Nob1/Exosc1/Wdr43/Mphosph10",38
"GO:0016072","rRNA metabolic process","30/328","265/25615",0.113207547169811,8.84088817303267,14.6125558908729,1.01654639879704e-19,3.26514703293608e-16,3.26514703293608e-16,"Tsr1/Ppan/Ebna1bp2/Wdr74/Rrp15/Nhp2/Heatr1/Rrs1/Gar1/Myc/Krr1/Chd7/Ftsj3/Rbm34/Slfn2/Bysl/Utp4/Rrp9/Bop1/Npm3/Dimt1/Riok3/Mrto4/Mak16/Polr1a/Abt1/Nob1/Exosc1/Wdr43/Mphosph10",30
"GO:0006364","rRNA processing","27/328","224/25615",0.120535714285714,9.41317780923345,14.403603054872,1.44503568478874e-18,3.0943030796943e-15,3.0943030796943e-15,"Tsr1/Ppan/Ebna1bp2/Wdr74/Rrp15/Nhp2/Heatr1/Rrs1/Gar1/Krr1/Chd7/Ftsj3/Rbm34/Bysl/Utp4/Rrp9/Bop1/Npm3/Dimt1/Riok3/Mrto4/Mak16/Abt1/Nob1/Exosc1/Wdr43/Mphosph10",27
"GO:0042273","ribosomal large subunit biogenesis","15/328","75/25615",0.2,15.6189024390244,14.4398247759358,3.38039913601479e-14,5.42892101243976e-11,5.42892101243976e-11,"Nip7/Ppan/Ebna1bp2/Wdr74/Rrp15/Tma16/Rrs1/Nop16/Ftsj3/Rbm34/Bop1/Cinp/Mrto4/Ddx28/Mak16",15
"GO:0030595","leukocyte chemotaxis","22/328","233/25615",0.0944206008583691,7.37373076520465,11.1310395318961,3.84161822153254e-13,4.93571109102501e-10,4.93571109102501e-10,"Stap1/Csf3r/Itgam/Fpr2/Bst1/Dusp1/C3/Serpine1/Ccl4/Ccl7/Gpr35/Spp1/Mif/Jaml/Il1b/Cxcl13/Edn1/Ccl2/Adam8/Ccl3/S100a9/S100a8",22
"GO:0050727","regulation of inflammatory response","29/328","434/25615",0.0668202764976959,5.21829689783073,10.0942136359684,4.83437544373437e-13,5.17600464175827e-10,5.17600464175827e-10,"Stap1/1700017B05Rik/Psma6/Ptgs2/Siglece/Fcgr1/Fpr2/Pycard/Tnfaip3/Traf1/Nlrp3/Bst1/C3/Serpine1/Acp5/Ctla2a/Ccl7/Cd44/Usp18/Spn/Aoah/Il1b/Adam8/Ccl3/Cebpb/Zbp1/S100a9/S100a8/Osm",29
"GO:0097529","myeloid leukocyte migration","22/328","243/25615",0.0905349794238683,7.0702850547024,10.8283389390116,9.011382852687e-13,8.26987477795161e-10,8.26987477795161e-10,"Stap1/Csf3r/Itgam/Fpr2/Bst1/Dusp1/Serpine1/Ccl4/Ccl7/Gpr35/Mmp14/Spp1/Mif/Jaml/Il1b/Cxcl13/Edn1/Ccl2/Adam8/Ccl3/S100a9/S100a8",22
"GO:0042274","ribosomal small subunit biogenesis","16/328","112/25615",0.142857142857143,11.1563588850174,12.2681304348541,1.13821191629331e-12,9.13984168783529e-10,9.13984168783529e-10,"Tsr1/Heatr1/Ltv1/Rrs1/Krr1/Rps19bp1/Bysl/Utp4/Rrp9/Pno1/Dimt1/Riok3/Abt1/Nob1/Wdr43/Mphosph10",16
"GO:0009615","response to virus","28/328","443/25615",0.0632054176072235,4.93599625612509,9.5175386342639,4.71020037680326e-12,3.21298251957115e-09,3.21298251957115e-09,"Oasl2/Irf7/Bcl2l1/Pycard/Ikbke/Nlrp3/Ifitm2/Isg15/Ifi27l2a/Pou2f2/Polr3d/Oas1a/Oas1g/Usp18/Spn/Ddit4/Oasl1/Ndufaf4/Rtp4/Il1b/Hspb1/Rsad2/Lcn2/Riok3/Ifit1/Plscr1/Zbp1/Irak3",28
"GO:0050900","leukocyte migration","27/328","412/25615",0.0655339805825243,5.11784424579683,9.5966437754394,5.00152945138723e-12,3.21298251957115e-09,3.21298251957115e-09,"Stap1/Csf3r/Itgam/Fpr2/Pycard/Bst1/Dusp1/C3/Serpine1/Ccl4/Abl2/Ccl7/Gpr35/Spn/Mmp14/Spp1/Mif/Jaml/Il1b/Cxcl13/Edn1/Ccl2/Adam8/Ccl3/S100a9/S100a8/Ecm1",27
"GO:0002833","positive regulation of response to biotic stimulus","29/328","485/25615",0.0597938144329897,4.66956877042997,9.29215886725328,7.48374835421371e-12,4.37050903886081e-09,4.37050903886081e-09,"Cd274/Irf7/Fpr2/Pycard/Ikbke/Msr1/Tnfaip3/Nlrp3/Znrf1/Hspa8/Slc15a3/Tnip3/Polr3d/Oas1a/Oas1g/Oasl1/Mif/Rsad2/Riok3/Adam8/Clec4e/Plscr1/Zbp1/Hspd1/S100a9/Irak3/S100a8/Hspa1b/Hspa1a",29
"GO:0045089","positive regulation of innate immune response","28/328","454/25615",0.0616740088105727,4.81640163317933,9.34426229717529,8.42903254578181e-12,4.49112003353036e-09,4.49112003353036e-09,"Cd274/Irf7/Fpr2/Pycard/Ikbke/Msr1/Tnfaip3/Nlrp3/Znrf1/Hspa8/Slc15a3/Tnip3/Polr3d/Oas1a/Oas1g/Oasl1/Rsad2/Riok3/Adam8/Clec4e/Plscr1/Zbp1/Hspd1/S100a9/Irak3/S100a8/Hspa1b/Hspa1a",28
"GO:0060326","cell chemotaxis","24/328","330/25615",0.0727272727272727,5.67960088691796,9.74453849830987,9.08850567183914e-12,4.49112003353036e-09,4.49112003353036e-09,"Stap1/Csf3r/Itgam/Fpr2/Bst1/Dusp1/C3/Serpine1/Ccl4/Ccl7/Saa3/Gpr35/Spp1/Mif/Jaml/Il1b/Hspb1/Cxcl13/Edn1/Ccl2/Adam8/Ccl3/S100a9/S100a8",24
"GO:0050729","positive regulation of inflammatory response","17/328","172/25615",0.0988372093023256,7.71864364719229,10.0690533432684,9.24218054448624e-11,4.24084055841283e-08,4.24084055841283e-08,"Stap1/Ptgs2/Fcgr1/Pycard/Traf1/Nlrp3/C3/Serpine1/Ccl7/Il1b/Adam8/Ccl3/Cebpb/Zbp1/S100a9/S100a8/Osm",17
"GO:0071621","granulocyte chemotaxis","15/328","128/25615",0.1171875,9.15170064786585,10.5298168742062,1.06428769803348e-10,4.52728996021747e-08,4.52728996021747e-08,"Csf3r/Itgam/Bst1/Ccl4/Ccl7/Gpr35/Spp1/Jaml/Il1b/Cxcl13/Edn1/Ccl2/Ccl3/S100a9/S100a8",15
"GO:0097193","intrinsic apoptotic signaling pathway","23/328","341/25615",0.0674486803519062,5.26737179028682,9.03498947641751,1.12759401250746e-10,4.52728996021747e-08,4.52728996021747e-08,"Ptgs2/Hyou1/Bcl2l1/Pycard/Ikbke/Aen/Myc/Ifi27l2a/Cd44/Ddit4/Mif/Sod2/Plaur/Hspb1/Fnip2/Ybx3/Mdm2/Plscr1/Cebpb/Hsph1/S100a9/S100a8/Hspa1a",23
"GO:0006935","chemotaxis","27/328","476/25615",0.0567226890756303,4.42973073375692,8.60233740606338,1.33146428740887e-10,4.79563691242084e-08,4.79563691242084e-08,"Stap1/Csf3r/Itgam/Fpr2/Bst1/Dusp1/C3/Serpine1/Ccl4/Ccl7/Saa3/Gpr35/Spp1/Mif/Jaml/Il1b/Hspb1/Cxcl13/Edn1/Fpr1/Ccn1/Ccl2/Adam8/Ccl3/S100a9/Alkbh1/S100a8",27
"GO:0002218","activation of innate immune response","24/328","377/25615",0.0636604774535809,4.97153393284596,8.84766060459591,1.44015953778436e-10,4.79563691242084e-08,4.79563691242084e-08,"Cd274/Irf7/Pycard/Ikbke/Msr1/Tnfaip3/Nlrp3/Znrf1/Hspa8/Slc15a3/Tnip3/Oas1a/Oas1g/Oasl1/Rsad2/Riok3/Clec4e/Zbp1/Hspd1/S100a9/Irak3/S100a8/Hspa1b/Hspa1a",24
"GO:0042330","taxis","27/328","478/25615",0.0564853556485356,4.41119629554036,8.5741466497552,1.46180216742269e-10,4.79563691242084e-08,4.79563691242084e-08,"Stap1/Csf3r/Itgam/Fpr2/Bst1/Dusp1/C3/Serpine1/Ccl4/Ccl7/Saa3/Gpr35/Spp1/Mif/Jaml/Il1b/Hspb1/Cxcl13/Edn1/Fpr1/Ccn1/Ccl2/Adam8/Ccl3/S100a9/Alkbh1/S100a8",27
"GO:2001233","regulation of apoptotic signaling pathway","26/328","444/25615",0.0585585585585586,4.57310206548011,8.64995090217495,1.49303764396664e-10,4.79563691242084e-08,4.79563691242084e-08,"Ptgs2/Hyou1/Bcl2l1/Pycard/Tnfaip3/Traf1/Eef1e1/Serpine1/Myc/Sgms1/Itprip/Cd44/Mif/Sod2/Plaur/Il1b/Hspb1/Ybx3/Mdm2/Plscr1/Hsph1/S100a9/S100a8/Osm/Hspa1b/Hspa1a",26
"GO:0030593","neutrophil chemotaxis","13/328","94/25615",0.138297872340426,10.8003048780488,10.8413069204669,2.33194405259623e-10,7.13352790184676e-08,7.13352790184676e-08,"Csf3r/Itgam/Bst1/Gpr35/Spp1/Jaml/Il1b/Cxcl13/Edn1/Ccl2/Ccl3/S100a9/S100a8",13
"GO:0097530","granulocyte migration","16/328","162/25615",0.0987654320987654,7.71303824149353,9.76189450228741,3.3618002813048e-10,9.81645682141002e-08,9.81645682141002e-08,"Csf3r/Itgam/Bst1/Ccl4/Ccl7/Gpr35/Spp1/Jaml/Il1b/Cxcl13/Edn1/Ccl2/Adam8/Ccl3/S100a9/S100a8",16
"GO:0002221","pattern recognition receptor signaling pathway","22/328","332/25615",0.0662650602409639,5.17493755509844,8.72030537682532,4.04687475691679e-10,1.1303097147145e-07,1.1303097147145e-07,"Cd274/Irf7/Pycard/Msr1/Tnfaip3/Nlrp3/Znrf1/Hspa8/Slc15a3/Tnip3/Oas1a/Oas1g/Oasl1/Rsad2/Riok3/Clec4e/Hspd1/S100a9/Irak3/S100a8/Hspa1b/Hspa1a",22
"GO:0002526","acute inflammatory response","14/328","123/25615",0.113821138211382,8.88880626611144,9.98823752989251,6.64798743828889e-10,1.65469939004537e-07,1.65469939004537e-07,"Ptgs2/Fcgr1/Fcgr4/Nlrp3/C3/Saa3/Hp/Spn/Il1b/Serpina3n/Il1rn/Lcn2/Adam8/Plscr1",14
"GO:1990266","neutrophil migration","14/328","123/25615",0.113821138211382,8.88880626611144,9.98823752989251,6.64798743828889e-10,1.65469939004537e-07,1.65469939004537e-07,"Csf3r/Itgam/Bst1/Gpr35/Spp1/Jaml/Il1b/Cxcl13/Edn1/Ccl2/Adam8/Ccl3/S100a9/S100a8",14
"GO:0007249","canonical NF-kappaB signal transduction","22/328","341/25615",0.0645161290322581,5.03835562549174,8.55011055315079,6.69710213903791e-10,1.65469939004537e-07,1.65469939004537e-07,"1700017B05Rik/Psma6/Tgm2/Pycard/Ikbke/Tnfaip3/Traf1/Nup62/Abl2/Tnip3/Ccl7/Saa3/Clec4d/Il1b/Hspb1/Gapdh/Riok3/Adam8/Lrrc25/Irak3/Hspa1b/Hspa1a",22
"GO:0002758","innate immune response-activating signaling pathway","22/328","342/25615",0.064327485380117,5.02362359149907,8.53157023457568,7.07536989145528e-10,1.68224648590289e-07,1.68224648590289e-07,"Cd274/Irf7/Pycard/Msr1/Tnfaip3/Nlrp3/Znrf1/Hspa8/Slc15a3/Tnip3/Oas1a/Oas1g/Oasl1/Rsad2/Riok3/Clec4e/Hspd1/S100a9/Irak3/S100a8/Hspa1b/Hspa1a",22
"GO:0032496","response to lipopolysaccharide","25/328","443/25615",0.0564334085778781,4.4071395143974,8.23872276558736,7.33233213033636e-10,1.68224648590289e-07,1.68224648590289e-07,"Stap1/Cd274/Ptgs2/Fcgr4/Pycard/Tnfaip3/Nlrp3/Serpine1/Plaa/Acp5/Tnip3/Sgms1/Mif/Sod2/Il1b/Cxcl13/Noct/Wfdc21/Edn1/Lcn2/Ccl2/Plscr1/Cebpb/Irak3/S100a8",25
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","17/328","197/25615",0.0862944162436548,6.73912034171103,9.20947189760051,7.74203841659931e-10,1.71499499269772e-07,1.71499499269772e-07,"Ptgs2/Hyou1/Bcl2l1/Pycard/Myc/Cd44/Mif/Sod2/Plaur/Hspb1/Ybx3/Mdm2/Plscr1/Hsph1/S100a9/S100a8/Hspa1a",17
"GO:0071675","regulation of mononuclear cell migration","15/328","148/25615",0.101351351351351,7.9149843441002,9.60860045456749,8.40781539062404e-10,1.80039353564563e-07,1.80039353564563e-07,"Stap1/Fpr2/Pycard/Dusp1/Serpine1/Abl2/Ccl7/Spn/Mmp14/Mif/Cxcl13/Ccl2/Adam8/Ccl3/Ecm1",15
"GO:0051607","defense response to virus","22/328","349/25615",0.0630372492836676,4.92286323293032,8.40377865010722,1.03365509895719e-09,2.14200011474225e-07,2.14200011474225e-07,"Oasl2/Irf7/Bcl2l1/Pycard/Nlrp3/Ifitm2/Isg15/Polr3d/Oas1a/Oas1g/Usp18/Spn/Ddit4/Oasl1/Ndufaf4/Rtp4/Il1b/Rsad2/Riok3/Ifit1/Plscr1/Zbp1",22
"GO:0071706","tumor necrosis factor superfamily cytokine production","17/328","202/25615",0.0841584158415842,6.57231043226274,9.05544901173247,1.13950302410687e-09,2.21823255359471e-07,2.21823255359471e-07,"Cd274/Fcgr1/Pycard/Tnfaip3/Ccl4/Acp5/Oas1a/Oas1g/Spn/Mif/Hspb1/Ccn1/Clec4a1/Ccl2/Adam8/Ccl3/Irak3",17
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","17/328","202/25615",0.0841584158415842,6.57231043226274,9.05544901173247,1.13950302410687e-09,2.21823255359471e-07,2.21823255359471e-07,"Cd274/Fcgr1/Pycard/Tnfaip3/Ccl4/Acp5/Oas1a/Oas1g/Spn/Mif/Hspb1/Ccn1/Clec4a1/Ccl2/Adam8/Ccl3/Irak3",17
"GO:0002237","response to molecule of bacterial origin","25/328","459/25615",0.0544662309368192,4.25351373611775,8.01060218131821,1.51694109325763e-09,2.86612634796676e-07,2.86612634796676e-07,"Stap1/Cd274/Ptgs2/Fcgr4/Pycard/Tnfaip3/Nlrp3/Serpine1/Plaa/Acp5/Tnip3/Sgms1/Mif/Sod2/Il1b/Cxcl13/Noct/Wfdc21/Edn1/Lcn2/Ccl2/Plscr1/Cebpb/Irak3/S100a8",25
"GO:0071347","cellular response to interleukin-1","12/328","91/25615",0.131868131868132,10.2981774323238,10.119781316165,2.03079067872602e-09,3.72737123432456e-07,3.72737123432456e-07,"Pycard/Nlrp3/Serpine1/Saa3/Il1b/Edn1/Il1rn/Lcn2/Ccl2/Cebpb/Zbp1/Irak3",12
"GO:0002685","regulation of leukocyte migration","18/328","242/25615",0.0743801652892562,5.808682725257,8.56002172481833,2.67425685990582e-09,4.77206279667639e-07,4.77206279667639e-07,"Stap1/Fpr2/Pycard/Bst1/Dusp1/Serpine1/Abl2/Ccl7/Spn/Mmp14/Mif/Il1b/Cxcl13/Edn1/Ccl2/Adam8/Ccl3/Ecm1",18
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","22/328","369/25615",0.0596205962059621,4.65604137748695,8.05665870579841,2.90227885807822e-09,5.03898361737688e-07,5.03898361737688e-07,"Stap1/Pirb/Cd274/Fcgr1/Cd38/Fcgr4/Itgam/Fpr2/Tnfaip3/Znrf1/C3/Cd72/Tnip3/Clec4d/Oas1a/Oas1g/Rgcc/Sos1/Fpr1/Pira2/Clec4e/Plscr1",22
"GO:2001234","negative regulation of apoptotic signaling pathway","18/328","256/25615",0.0703125,5.49102038871951,8.22481082424564,6.49297419075328e-09,1.09765437372103e-06,1.09765437372103e-06,"Ptgs2/Hyou1/Bcl2l1/Tnfaip3/Serpine1/Sgms1/Itprip/Cd44/Mif/Sod2/Plaur/Il1b/Hspb1/Ybx3/Mdm2/Hsph1/Hspa1b/Hspa1a",18
"GO:0071674","mononuclear cell migration","17/328","229/25615",0.074235807860262,5.79740920225796,8.3052811228383,7.65723806925474e-09,1.26128454761263e-06,1.26128454761263e-06,"Stap1/Fpr2/Pycard/Dusp1/Serpine1/Abl2/Ccl7/Gpr35/Spn/Mmp14/Mif/Jaml/Cxcl13/Ccl2/Adam8/Ccl3/Ecm1",17
"GO:0001959","regulation of cytokine-mediated signaling pathway","15/328","175/25615",0.0857142857142857,6.69381533101045,8.60777325785055,8.55120748841362e-09,1.37332392263923e-06,1.37332392263923e-06,"Stap1/Irf7/Pycard/Ikbke/Isg15/Oas1a/Oas1g/Usp18/Edn1/Il1rn/Zbp1/Irak3/Hspa1b/Ecm1/Hspa1a",15
"GO:0030490","maturation of SSU-rRNA","9/328","50/25615",0.18,14.057012195122,10.5252612301364,1.31033566578316e-08,2.05307227243684e-06,2.05307227243684e-06,"Tsr1/Heatr1/Rrs1/Bysl/Utp4/Riok3/Abt1/Nob1/Wdr43",9
"GO:0060759","regulation of response to cytokine stimulus","15/328","185/25615",0.0810810810810811,6.33198747528016,8.28950837925856,1.81540700504828e-08,2.77670823819765e-06,2.77670823819765e-06,"Stap1/Irf7/Pycard/Ikbke/Isg15/Oas1a/Oas1g/Usp18/Edn1/Il1rn/Zbp1/Irak3/Hspa1b/Ecm1/Hspa1a",15
"GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","12/328","111/25615",0.108108108108108,8.44264996704021,8.94977060746665,2.02007913218016e-08,3.01790426630822e-06,3.01790426630822e-06,"Ptgs2/Hyou1/Bcl2l1/Cd44/Mif/Sod2/Plaur/Hspb1/Ybx3/Mdm2/Hsph1/Hspa1a",12
"GO:0070555","response to interleukin-1","12/328","112/25615",0.107142857142857,8.36726916376307,8.8991163145146,2.23680929691668e-08,3.26574157349836e-06,3.26574157349836e-06,"Pycard/Nlrp3/Serpine1/Saa3/Il1b/Edn1/Il1rn/Lcn2/Ccl2/Cebpb/Zbp1/Irak3",12
"GO:0032640","tumor necrosis factor production","15/328","199/25615",0.0753768844221105,5.88652101973281,7.88133302064979,4.81449108258341e-08,6.72354145967735e-06,6.72354145967735e-06,"Fcgr1/Pycard/Tnfaip3/Ccl4/Acp5/Oas1a/Oas1g/Spn/Mif/Hspb1/Ccn1/Clec4a1/Ccl2/Ccl3/Irak3",15
"GO:0032680","regulation of tumor necrosis factor production","15/328","199/25615",0.0753768844221105,5.88652101973281,7.88133302064979,4.81449108258341e-08,6.72354145967735e-06,6.72354145967735e-06,"Fcgr1/Pycard/Tnfaip3/Ccl4/Acp5/Oas1a/Oas1g/Spn/Mif/Hspb1/Ccn1/Clec4a1/Ccl2/Ccl3/Irak3",15
"GO:0062197","cellular response to chemical stress","20/328","360/25615",0.0555555555555556,4.33858401084011,7.26552235303023,4.97054792510535e-08,6.79378720656952e-06,6.79378720656952e-06,"Ptgs2/Gsr/Txn1/Pycard/Tnfaip3/Nlrp3/Slc2a1/Hspa8/Abl2/Sod2/Hspb1/Lrrc8d/Edn1/Chchd4/Glrx/Lcn2/Ybx3/Mdm2/Hsph1/Slc7a11",20
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","12/328","121/25615",0.0991735537190083,7.74491030034267,8.46987191930162,5.34836736864231e-08,7.15789832836629e-06,7.15789832836629e-06,"Fcgr1/Pycard/Ccl4/Oas1a/Oas1g/Spn/Mif/Hspb1/Ccn1/Ccl2/Adam8/Ccl3",12
"GO:0062207","regulation of pattern recognition receptor signaling pathway","15/328","202/25615",0.0742574257425743,5.79909744023183,7.79891621269712,5.86979847100631e-08,7.6954255872948e-06,7.6954255872948e-06,"Irf7/Msr1/Tnfaip3/Nlrp3/Znrf1/Hspa8/Slc15a3/Oasl1/Rsad2/Riok3/S100a9/Irak3/S100a8/Hspa1b/Hspa1a",15
"GO:0071677","positive regulation of mononuclear cell migration","11/328","101/25615",0.108910891089109,8.50534291234002,8.60733925832703,7.32078458479742e-08,9.40574403454772e-06,9.40574403454772e-06,"Fpr2/Pycard/Serpine1/Abl2/Ccl7/Spn/Mmp14/Cxcl13/Ccl2/Adam8/Ccl3",11
"GO:0032102","negative regulation of response to external stimulus","22/328","446/25615",0.0493273542600897,3.85219566881768,6.92055198377101,8.62958740414719e-08,1.08698959773023e-05,1.08698959773023e-05,"Stap1/1700017B05Rik/Siglece/Fpr2/Tnfaip3/Nlrp3/Dusp1/Serpine1/Acp5/Isg15/Ctla2a/Cd44/Oas1a/Oas1g/Usp18/Spn/Aoah/Mif/Plaur/Cxcl13/Ccl2/Irak3",22
"GO:0043122","regulation of canonical NF-kappaB signal transduction","18/328","307/25615",0.0586319218241042,4.57883133391595,7.18469730994035,1.05218909243324e-07,1.29985821726752e-05,1.29985821726752e-05,"1700017B05Rik/Psma6/Tgm2/Pycard/Ikbke/Tnfaip3/Traf1/Nup62/Abl2/Tnip3/Clec4d/Il1b/Hspb1/Gapdh/Riok3/Irak3/Hspa1b/Hspa1a",18
"GO:0002688","regulation of leukocyte chemotaxis","12/328","130/25615",0.0923076923076923,7.20872420262664,8.08274161785414,1.18851827988081e-07,1.43304520537016e-05,1.43304520537016e-05,"Stap1/Fpr2/Bst1/Dusp1/Serpine1/Ccl7/Mif/Il1b/Cxcl13/Edn1/Ccl2/Ccl3",12
"GO:1905952","regulation of lipid localization","14/328","184/25615",0.0760869565217391,5.94197375397667,7.66221964573572,1.20461458732859e-07,1.43304520537016e-05,1.43304520537016e-05,"Ikbke/Msr1/Dennd5b/C3/Nus1/Ehd1/Surf4/Spp1/Mif/Il1b/Plin2/Apoc2/Edn1/Hilpda",14
"GO:0071222","cellular response to lipopolysaccharide","18/328","311/25615",0.0578778135048231,4.51993961257941,7.11291777165891,1.27686933258769e-07,1.49138338046242e-05,1.49138338046242e-05,"Stap1/Cd274/Fcgr4/Pycard/Tnfaip3/Nlrp3/Serpine1/Plaa/Tnip3/Sgms1/Mif/Il1b/Cxcl13/Lcn2/Ccl2/Plscr1/Cebpb/Irak3",18
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/328","33/25615",0.212121212121212,16.5655025868441,10.190132727585,1.69961127025171e-07,1.94969692858875e-05,1.94969692858875e-05,"Tsr1/Heatr1/Rrs1/Bysl/Utp4/Abt1/Wdr43",7
"GO:0071219","cellular response to molecule of bacterial origin","18/328","319/25615",0.0564263322884013,4.40658689502255,6.97293885250124,1.86288045654842e-07,2.09949895664335e-05,2.09949895664335e-05,"Stap1/Cd274/Fcgr4/Pycard/Tnfaip3/Nlrp3/Serpine1/Plaa/Tnip3/Sgms1/Mif/Il1b/Cxcl13/Lcn2/Ccl2/Plscr1/Cebpb/Irak3",18
"GO:0010884","positive regulation of lipid storage","6/328","21/25615",0.285714285714286,22.3127177700348,11.1277245969195,1.94346628471157e-07,2.15255645051502e-05,2.15255645051502e-05,"Ikbke/Msr1/C3/Ehd1/Plin2/Hilpda",6
"GO:0002687","positive regulation of leukocyte migration","13/328","166/25615",0.0783132530120482,6.11583529238907,7.53116576865704,2.44606816642752e-07,2.66331218663227e-05,2.66331218663227e-05,"Fpr2/Pycard/Serpine1/Abl2/Ccl7/Spn/Mmp14/Il1b/Cxcl13/Edn1/Ccl2/Adam8/Ccl3",13
"GO:1905954","positive regulation of lipid localization","11/328","114/25615",0.0964912280701754,7.53543538724861,7.96480808103342,2.55695824176723e-07,2.73764995751879e-05,2.73764995751879e-05,"Ikbke/Msr1/Dennd5b/C3/Ehd1/Spp1/Mif/Il1b/Plin2/Edn1/Hilpda",11
"GO:0061621","canonical glycolysis","6/328","22/25615",0.272727272727273,21.2985033259423,10.8478014952256,2.64355073167239e-07,2.73905966133281e-05,2.73905966133281e-05,"Pgk1/Pfkl/Pgam1/Gapdh/Aldoa/Pkm",6
"GO:0061718","glucose catabolic process to pyruvate","6/328","22/25615",0.272727272727273,21.2985033259423,10.8478014952256,2.64355073167239e-07,2.73905966133281e-05,2.73905966133281e-05,"Pgk1/Pfkl/Pgam1/Gapdh/Aldoa/Pkm",6
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","11/328","115/25615",0.0956521739130435,7.4699098621421,7.91961428470051,2.79548745488105e-07,2.85050974764379e-05,2.85050974764379e-05,"Bcl2l1/Pycard/Ikbke/Aen/Myc/Cd44/Ddit4/Mif/Sod2/Fnip2/Plscr1",11
"GO:0006953","acute-phase response","8/328","52/25615",0.153846153846154,12.0145403377111,9.05501365827954,3.06007557884809e-07,3.07155086226877e-05,3.07155086226877e-05,"Ptgs2/Saa3/Hp/Il1b/Serpina3n/Il1rn/Lcn2/Plscr1",8
"GO:0042742","defense response to bacterium","21/328","444/25615",0.0472972972972973,3.69365936058009,6.5209503644758,3.4106539641108e-07,3.37077554853043e-05,3.37077554853043e-05,"Fcgr1/Hck/Fpr2/Pycard/Wfdc17/Nlrp3/Fgr/Serpine1/Acp5/Isg15/Clec4d/Oas1a/Oas1g/Hp/Spn/Il1b/Cxcl13/Wfdc21/Lcn2/Clec4e/Cebpb",21
"GO:0045071","negative regulation of viral genome replication","8/328","53/25615",0.150943396226415,11.7878508973769,8.9536976508242,3.5642507768916e-07,3.46920408950782e-05,3.46920408950782e-05,"Oasl2/Ifitm2/Isg15/Oas1a/Oas1g/Oasl1/Rsad2/Plscr1",8
"GO:0032760","positive regulation of tumor necrosis factor production","11/328","119/25615",0.092436974789916,7.21882045501127,7.7441265975835,3.95829618051015e-07,3.75408512888102e-05,3.75408512888102e-05,"Fcgr1/Pycard/Ccl4/Oas1a/Oas1g/Spn/Mif/Hspb1/Ccn1/Ccl2/Ccl3",11
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","15/328","234/25615",0.0641025641025641,5.00605847404628,7.01128818790612,3.97381364825512e-07,3.75408512888102e-05,3.75408512888102e-05,"Irf7/Pycard/Msr1/Tnfaip3/Nlrp3/Znrf1/Hspa8/Slc15a3/Oas1a/Oas1g/Oasl1/Rsad2/Riok3/Hspa1b/Hspa1a",15
"GO:0006979","response to oxidative stress","21/328","451/25615",0.0465631929046563,3.6363298361365,6.43317177085491,4.40230897937011e-07,4.05195863127243e-05,4.05195863127243e-05,"Psma6/Ptgs2/Gsr/Cd38/Txn1/Tnfaip3/Dram1/Dusp1/Hspa8/Abl2/Mmp14/Sod2/Hspb1/Edn1/Chchd4/Glrx/Lcn2/Mdm2/Hsph1/Slc7a11/Rcan1",21
"GO:2000401","regulation of lymphocyte migration","9/328","74/25615",0.121621621621622,9.49798121292024,8.33757297507206,4.41527248114991e-07,4.05195863127243e-05,4.05195863127243e-05,"Pycard/Abl2/Ccl7/Spn/Cxcl13/Ccl2/Adam8/Ccl3/Ecm1",9
"GO:0050764","regulation of phagocytosis","11/328","124/25615",0.0887096774193548,6.92773898505114,7.53587087707791,5.99902160400502e-07,5.41993731951932e-05,5.41993731951932e-05,"Stap1/Fcgr1/Hck/Tgm2/Fpr2/Pycard/Fgr/C3/Hspa8/Ccl2/Plscr1",11
"GO:0061620","glycolytic process through glucose-6-phosphate","6/328","25/25615",0.24,18.7426829268293,10.1083698346369,6.07464954865179e-07,5.41993731951932e-05,5.41993731951932e-05,"Pgk1/Pfkl/Pgam1/Gapdh/Aldoa/Pkm",6
