"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Saa3",16.4227751590711,0,0,0.999,0.001,"macrophage_FindMarkers","Sepsis vs Sham"
"Lcn2",10.3189876064478,0,0,0.725,0.007,"macrophage_FindMarkers","Sepsis vs Sham"
"Mgl2",-6.43304386348379,0,0,0.055,0.74,"macrophage_FindMarkers","Sepsis vs Sham"
"S100a8",2.31070450762267,0,0,0.771,0.158,"macrophage_FindMarkers","Sepsis vs Sham"
"Mt2",3.62633464363909,0,0,0.866,0.271,"macrophage_FindMarkers","Sepsis vs Sham"
"Clec4d",3.54926745563596,0,0,0.575,0.065,"macrophage_FindMarkers","Sepsis vs Sham"
"Trf",-2.96899461425798,0,0,0.422,0.842,"macrophage_FindMarkers","Sepsis vs Sham"
"Sod2",2.61332537028355,0,0,0.881,0.475,"macrophage_FindMarkers","Sepsis vs Sham"
"Selenop",-3.64137367291344,0,0,0.562,0.923,"macrophage_FindMarkers","Sepsis vs Sham"
"Csf1r",-2.26712100162322,0,0,0.591,0.878,"macrophage_FindMarkers","Sepsis vs Sham"
"Itm2b",-2.20837428502476,0,0,0.824,0.946,"macrophage_FindMarkers","Sepsis vs Sham"
"Cst3",-2.03259779854589,0,0,0.903,0.95,"macrophage_FindMarkers","Sepsis vs Sham"
"Apoe",-2.27496903106043,0,0,0.951,0.993,"macrophage_FindMarkers","Sepsis vs Sham"
"H2-D1",-1.34498971593627,0,0,0.921,0.946,"macrophage_FindMarkers","Sepsis vs Sham"
"Hpgd",-4.4860982718199,1.08892028818159e-316,2.1389661220751e-312,0.107,0.669,"macrophage_FindMarkers","Sepsis vs Sham"
"Mrpl52",1.90431213797962,2.98262330386851e-303,5.85876695578891e-299,0.852,0.501,"macrophage_FindMarkers","Sepsis vs Sham"
"Fpr1",7.57887620241013,7.89668261784059e-298,1.55114536662243e-293,0.402,0.004,"macrophage_FindMarkers","Sepsis vs Sham"
"Hspa8",1.33869022993594,2.19202370638217e-295,4.3057921664465e-291,0.992,0.909,"macrophage_FindMarkers","Sepsis vs Sham"
"Pf4",-2.01629239670882,3.15139280039067e-294,6.19028087780739e-290,0.728,0.912,"macrophage_FindMarkers","Sepsis vs Sham"
"Psap",-1.81573923056775,5.52150441866869e-286,1.08458911295909e-281,0.666,0.906,"macrophage_FindMarkers","Sepsis vs Sham"
"Lyz2",-1.63418470238947,1.49493513414549e-281,2.93650108400198e-277,0.891,0.975,"macrophage_FindMarkers","Sepsis vs Sham"
"Il1rn",3.69305438723424,3.29693667178636e-280,6.47617270438994e-276,0.513,0.058,"macrophage_FindMarkers","Sepsis vs Sham"
"Fcrls",-3.28320012672471,4.4579454794538e-277,8.7567423052911e-273,0.234,0.705,"macrophage_FindMarkers","Sepsis vs Sham"
"Fcgr4",2.73647538620217,1.4012485025857e-276,2.75247243362909e-272,0.642,0.155,"macrophage_FindMarkers","Sepsis vs Sham"
"Acp5",3.85433932310096,4.68141836791253e-269,9.19571010009058e-265,0.491,0.062,"macrophage_FindMarkers","Sepsis vs Sham"
"Ighm",-5.32263722927021,7.49199507444404e-261,1.47165259247304e-256,0.035,0.549,"macrophage_FindMarkers","Sepsis vs Sham"
"Nme2",1.35451921517544,2.62281566632584e-260,5.15199681336384e-256,0.922,0.749,"macrophage_FindMarkers","Sepsis vs Sham"
"Plin2",1.68228793321263,1.66368692969853e-256,3.26798023600683e-252,0.902,0.564,"macrophage_FindMarkers","Sepsis vs Sham"
"H2-Ab1",-4.8632323654866,2.56730646982586e-254,5.04296009867894e-250,0.238,0.678,"macrophage_FindMarkers","Sepsis vs Sham"
"H2-Aa",-4.93213702629929,2.77230141517114e-251,5.44563166982067e-247,0.186,0.646,"macrophage_FindMarkers","Sepsis vs Sham"
"Gas6",-3.78769694356227,4.21027325578046e-251,8.27023975632956e-247,0.162,0.64,"macrophage_FindMarkers","Sepsis vs Sham"
"Cd74",-3.81764160641686,7.6779469615262e-246,1.50817912165259e-241,0.493,0.808,"macrophage_FindMarkers","Sepsis vs Sham"
"Hspa1b",2.61444811927172,3.78134420151197e-245,7.42769441502996e-241,0.878,0.528,"macrophage_FindMarkers","Sepsis vs Sham"
"Fpr2",4.50463084319451,4.09703395629657e-245,8.04780380035335e-241,0.38,0.016,"macrophage_FindMarkers","Sepsis vs Sham"
"C1qa",-0.984005427788344,9.28969091211479e-244,1.82477398586671e-239,0.908,0.965,"macrophage_FindMarkers","Sepsis vs Sham"
"Pkm",1.7734504088486,1.52815888887195e-241,3.00176250541116e-237,0.835,0.519,"macrophage_FindMarkers","Sepsis vs Sham"
"Mrc1",-2.11803029530668,3.28003600588806e-240,6.44297472636591e-236,0.535,0.837,"macrophage_FindMarkers","Sepsis vs Sham"
"Irak3",3.0079831359664,9.44986565440005e-240,1.8562371104938e-235,0.485,0.071,"macrophage_FindMarkers","Sepsis vs Sham"
"Cebpb",1.43581838625454,5.23430677663889e-239,1.02817488013518e-234,0.965,0.753,"macrophage_FindMarkers","Sepsis vs Sham"
"H2-Eb1",-4.8276805065132,5.73291185513827e-239,1.12611587570481e-234,0.215,0.65,"macrophage_FindMarkers","Sepsis vs Sham"
"H2-DMa",-3.83133323705721,7.60833830284543e-239,1.49450589282793e-234,0.149,0.609,"macrophage_FindMarkers","Sepsis vs Sham"
"Igfbp4",-3.49372472047381,1.32292249512294e-235,2.59861665717e-231,0.147,0.618,"macrophage_FindMarkers","Sepsis vs Sham"
"Nfil3",2.80632599570807,1.27954348099175e-232,2.5134072597121e-228,0.497,0.084,"macrophage_FindMarkers","Sepsis vs Sham"
"Bola2",1.71146529212878,1.06409551394723e-231,2.09020281804654e-227,0.801,0.46,"macrophage_FindMarkers","Sepsis vs Sham"
"Gapdh",1.14724927931831,2.62368764756561e-231,5.15370964611314e-227,0.949,0.814,"macrophage_FindMarkers","Sepsis vs Sham"
"Hexa",-2.28900503990566,2.88340638795976e-230,5.66387516786935e-226,0.44,0.756,"macrophage_FindMarkers","Sepsis vs Sham"
"Cd81",-1.62431824380014,4.13113476923775e-228,8.11478802721371e-224,0.696,0.844,"macrophage_FindMarkers","Sepsis vs Sham"
"H2-K1",-1.33643433166435,4.60425393473949e-228,9.04413600400878e-224,0.827,0.913,"macrophage_FindMarkers","Sepsis vs Sham"
"Egr1",-1.64844263263729,4.96992123179613e-227,9.76241627561714e-223,0.794,0.917,"macrophage_FindMarkers","Sepsis vs Sham"
"Fcgrt",-2.64531821064427,3.67653588387555e-221,7.22181943669674e-217,0.381,0.732,"macrophage_FindMarkers","Sepsis vs Sham"
"Fkbp5",3.34291345242122,9.06196666559046e-220,1.78004211212193e-215,0.421,0.051,"macrophage_FindMarkers","Sepsis vs Sham"
"Mef2c",-2.38258541461762,2.83434738305928e-219,5.56750856454335e-215,0.341,0.722,"macrophage_FindMarkers","Sepsis vs Sham"
"Ctsc",-1.43031465404685,3.01032561782248e-219,5.9131826110887e-215,0.771,0.887,"macrophage_FindMarkers","Sepsis vs Sham"
"Pirb",1.66406284044851,5.88801415642742e-218,1.15658262074704e-213,0.768,0.386,"macrophage_FindMarkers","Sepsis vs Sham"
"Gsr",3.45622905935438,2.64241607321264e-215,5.19049789261159e-211,0.442,0.064,"macrophage_FindMarkers","Sepsis vs Sham"
"Ehd1",1.48885749528663,1.45484680782066e-210,2.85775558460212e-206,0.781,0.377,"macrophage_FindMarkers","Sepsis vs Sham"
"Pld4",-2.62399707077378,8.4509888469421e-205,1.66002773920484e-200,0.261,0.669,"macrophage_FindMarkers","Sepsis vs Sham"
"Hspa1a",2.17572480573217,1.11747162372471e-202,2.19504951048244e-198,0.947,0.762,"macrophage_FindMarkers","Sepsis vs Sham"
"Txn1",1.38577915086244,1.59957149291735e-202,3.14203828353755e-198,0.864,0.602,"macrophage_FindMarkers","Sepsis vs Sham"
"Hsp90ab1",1.02088077684535,2.11671169426082e-196,4.15785678103653e-192,0.987,0.898,"macrophage_FindMarkers","Sepsis vs Sham"
"Mt1",1.30488758548549,3.02032496853889e-190,5.93282433570095e-186,0.984,0.871,"macrophage_FindMarkers","Sepsis vs Sham"
"Bst1",2.54938889769688,5.17344866394173e-189,1.01622052105807e-184,0.512,0.134,"macrophage_FindMarkers","Sepsis vs Sham"
"Igf1",-3.97785528189193,8.58864861241881e-189,1.68706824693743e-184,0.075,0.494,"macrophage_FindMarkers","Sepsis vs Sham"
"Manf",1.64018590186153,1.15315977718553e-186,2.26515175032554e-182,0.754,0.415,"macrophage_FindMarkers","Sepsis vs Sham"
"Ms4a6d",2.0132091009832,2.64642197061543e-186,5.19836667687989e-182,0.74,0.465,"macrophage_FindMarkers","Sepsis vs Sham"
"Serinc3",-1.32219131123156,4.08619869793707e-183,8.02652010235779e-179,0.694,0.86,"macrophage_FindMarkers","Sepsis vs Sham"
"Unc93b1",-1.76768801380737,2.68897763381864e-182,5.28195876610996e-178,0.548,0.781,"macrophage_FindMarkers","Sepsis vs Sham"
"C1qc",-0.82134392421893,1.19997581856447e-177,2.35711250040619e-173,0.893,0.937,"macrophage_FindMarkers","Sepsis vs Sham"
"Ctsb",-1.09983563645177,1.25315479237607e-175,2.46157195866432e-171,0.923,0.933,"macrophage_FindMarkers","Sepsis vs Sham"
"Ly86",-2.04494589842137,1.37033971242808e-175,2.69175829712248e-171,0.374,0.698,"macrophage_FindMarkers","Sepsis vs Sham"
"Gpr34",-7.02063114524501,6.44271328948125e-175,1.2655421714528e-170,0.007,0.385,"macrophage_FindMarkers","Sepsis vs Sham"
"Rgs10",-1.63891379659148,7.89191693446729e-174,1.55020924343741e-169,0.567,0.763,"macrophage_FindMarkers","Sepsis vs Sham"
"Clec4e",3.08410428701373,1.26813405916937e-173,2.49099573242639e-169,0.327,0.032,"macrophage_FindMarkers","Sepsis vs Sham"
"Pycard",1.62368238760523,1.45691153834868e-172,2.86181133477831e-168,0.75,0.468,"macrophage_FindMarkers","Sepsis vs Sham"
"Glrx",2.49297709407451,3.1835712924036e-168,6.25348908966839e-164,0.48,0.122,"macrophage_FindMarkers","Sepsis vs Sham"
"Mif",1.71499943174594,9.82624217750672e-168,1.93016875092764e-163,0.727,0.373,"macrophage_FindMarkers","Sepsis vs Sham"
"H2-DMb1",-3.99376923750252,1.67284952954226e-165,3.28597833087986e-161,0.096,0.47,"macrophage_FindMarkers","Sepsis vs Sham"
"S100a9",1.03742135512485,1.1735764716652e-164,2.30525626329196e-160,0.626,0.205,"macrophage_FindMarkers","Sepsis vs Sham"
"Sec61g",1.10576273606119,4.09464757748913e-164,8.0431162364619e-160,0.858,0.693,"macrophage_FindMarkers","Sepsis vs Sham"
"Fth1",0.97971369595841,1.28444648210098e-163,2.52303822479096e-159,0.998,0.979,"macrophage_FindMarkers","Sepsis vs Sham"
"Itgam",1.76184871190497,1.71068295363388e-162,3.36029452582303e-158,0.71,0.389,"macrophage_FindMarkers","Sepsis vs Sham"
"Hspe1",1.44139326417253,3.85921030938265e-161,7.58064681072033e-157,0.806,0.522,"macrophage_FindMarkers","Sepsis vs Sham"
"Timp2",-1.82346122621309,5.08955382200228e-161,9.99741057255907e-157,0.544,0.761,"macrophage_FindMarkers","Sepsis vs Sham"
"Fbxl5",2.52534110860385,5.3222957365093e-160,1.04545855152252e-155,0.496,0.145,"macrophage_FindMarkers","Sepsis vs Sham"
"Ikbke",3.77431950384019,1.06694433168173e-158,2.09579875072243e-154,0.275,0.017,"macrophage_FindMarkers","Sepsis vs Sham"
"Rpl36al",0.932105560309614,1.39052360369157e-158,2.73140551473136e-154,0.907,0.762,"macrophage_FindMarkers","Sepsis vs Sham"
"Hp",6.44031741129239,1.04288986370399e-152,2.04854855927375e-148,0.251,0.013,"macrophage_FindMarkers","Sepsis vs Sham"
"Fosb",-1.31382618620438,2.92056655344033e-152,5.73686888092284e-148,0.871,0.931,"macrophage_FindMarkers","Sepsis vs Sham"
