"gene","log2FC","AveExpr","t","pvalue","padj","B"
"Calhm6",4.46278092173431,2.22999353807406,24.9066136180338,4.25710000635586e-13,4.32571462440145e-09,20.0313298992124
"Slc26a10",-5.23728711484933,2.51228005817674,-24.0970085311299,6.72953561169593e-13,4.32571462440145e-09,19.7386643083156
"Colec11",-3.54450072913039,3.7390532139211,-23.9421373455455,7.35790886953811e-13,4.32571462440145e-09,19.3591316311926
"Csf3",6.57353871635753,3.21522859127841,22.0342374143805,2.31748506254313e-12,1.02183710120183e-08,18.6562401030543
"Sh2d5",4.26295569053844,2.06337610171216,20.7182655328724,5.40896509941072e-12,1.90795834916614e-08,17.7773323709815
"Cavin2",-3.53026014741225,5.28543160044481,-20.2072646796214,7.62101600307716e-12,2.24019765410453e-08,17.4314910874115
"Sphk1",4.80972694380185,3.69742379387486,19.6594974110928,1.11069648573946e-11,2.79847913128384e-08,17.0121743682811
"Ky",-3.13102968952119,1.23910082131344,-18.428309002273,2.68752708355383e-11,4.46798337574259e-08,16.2852222649454
"Plscr1",3.38879190489395,6.03039247054171,18.2386052057702,3.09447337410674e-11,4.46798337574259e-08,16.1614716388865
"Fosl1",3.22063828767659,1.13263149211764,18.2003749891167,3.18418411211683e-11,4.46798337574259e-08,16.1324614670561
"Rcan1",3.9040482101954,7.80825622455026,18.1590798768831,3.28421573982794e-11,4.46798337574259e-08,16.1526902109645
"Lipg",3.80633123731671,1.61453875674306,18.1500299344441,3.3065830576145e-11,4.46798337574259e-08,16.0978987772718
"Pde4b",3.14564994826939,5.32531623420125,18.1458070016482,3.31707582380861e-11,4.46798337574259e-08,16.0675208046364
"Hey1",-3.49374388270609,1.95993815051219,-18.0568327618196,3.5466217191357e-11,4.46798337574259e-08,15.9696788397044
"C1qtnf9",-3.03383178266894,4.6817879556926,-17.8825119594124,4.04700432641223e-11,4.7584676869955e-08,15.8525224580699
"Car8",-2.38174392466467,2.57677773707685,-17.6837017160723,4.71124933404473e-11,5.19326903153418e-08,15.6147262438172
"Gm13889",4.29971619530948,5.4372470874197,17.5181946618817,5.35308936362452e-11,5.55367277095563e-08,15.6150508314389
"Asb2",-4.87723268033849,5.43437971814974,-17.3843176669857,5.94053033830774e-11,5.82072964315187e-08,15.5135751788195
"Inhbb",4.44389621177946,3.44262101493467,17.1693602037489,7.03241954941611e-11,6.52793597858168e-08,15.3012658241253
"Abca8a",-3.87204319925436,3.2230699591784,-16.3894512148319,1.31886060649222e-10,1.10832506403408e-07,14.6995599299551
"Dbn1",2.69199538137211,4.6870802797712,16.3887163685554,1.31965903184871e-10,1.10832506403408e-07,14.7350198781695
"Irf8",2.59901649870599,4.19284570199588,16.1580387342721,1.59772542595147e-10,1.2808674244321e-07,14.5370119691943
"Tiparp",2.35046220973112,3.81615972150761,16.0629304079184,1.73002402778329e-10,1.30778380059585e-07,14.4477165428533
"AA467197",5.8517827237459,5.09237196070522,16.0292747356669,1.77960034100473e-10,1.30778380059585e-07,14.4542462758774
"Ddn",2.34303597090867,0.97766211430382,15.7625120990907,2.23053982431576e-10,1.52649152778821e-07,14.2378401899217
"Irf1",2.92482677634729,6.55484915481956,15.7521691999966,2.25031352965319e-10,1.52649152778821e-07,14.2562224116205
"Myct1",-3.24176785764223,3.25931266864511,-15.5404666596064,2.69898362881212e-10,1.70928233344063e-07,14.0137607677059
"Stmn2",-3.61732028316706,1.34059052954046,-15.5342134140483,2.71360805898609e-10,1.70928233344063e-07,14.0691681437148
"Htra3",-3.44497382706439,4.60140690932198,-15.4189864033787,2.99877922166768e-10,1.82377479767424e-07,13.9446569355821
"Aqp7",-3.77800954173981,3.60275157388186,-15.3301345412565,3.24046220852952e-10,1.90506773239451e-07,13.8499171767092
"Rell1",2.36358824439054,4.80730908031989,15.1943608426928,3.65077021160786e-10,2.07705271684283e-07,13.7591992476322
"Rnd1",4.28768895222027,4.01330775411921,15.0242143639199,4.24478590317341e-10,2.28879109664605e-07,13.5988835172821
"Kazald1",-2.20918019833463,1.3649573605985,-15.0142889218693,4.28248036453591e-10,2.28879109664605e-07,13.5831330095156
"Gpcpd1",-1.91724498062598,5.50984965648974,-14.9305775723092,4.61496734140736e-10,2.39394644118828e-07,13.54184463284
