"gene","log2FC","pvalue","padj","pct.1","pct.2"
"S100a9",4.68001187827684,0,0,0.505,0.019
"S100a8",4.97938838198899,0,0,0.463,0.017
"Fcer1g",1.5105011824155,0,0,0.905,0.525
"Tyrobp",1.44580021660401,0,0,0.897,0.532
"C1qb",1.40328932576147,0,0,0.933,0.58
"Cyba",1.20126538220075,2.9945118930663e-310,8.01331382584543e-306,0.923,0.805
"C1qa",1.36309301395074,1.46731153567276e-306,3.9265256694603e-302,0.926,0.559
"Wfdc17",2.05606530596349,1.38788543080879e-301,3.71398141284433e-297,0.886,0.482
"Saa3",9.89813964121417,2.52377831734669e-299,6.75363077721974e-295,0.374,0.003
"Alox5ap",1.66015604892579,6.95639037701126e-285,1.86153006488821e-280,0.82,0.455
"Mir6236",-1.51498433650355,2.7510344366043e-278,7.3617681523531e-274,0.673,0.891
"Pirb",1.81717467626204,2.08576316416408e-247,5.58150222730308e-243,0.731,0.376
"Fxyd5",1.40148339364973,2.86746285082468e-247,7.67333058880683e-243,0.86,0.605
"C1qc",1.21004063125025,1.46249785240901e-244,3.9136442530465e-240,0.885,0.533
"Rac2",1.73214700628023,8.55208275944525e-241,2.28853734642755e-236,0.748,0.413
"Gpx1",1.2470558316074,2.41756538579802e-240,6.4694049723955e-236,0.906,0.751
"Ltbp4",-3.61581827519977,6.95919073062152e-237,1.86227943951432e-232,0.074,0.421
"Fyb",1.47673520215187,9.86304646362548e-236,2.63935123366618e-231,0.811,0.453
"Pla2g7",1.68290086505137,8.10225530812168e-227,2.16816352045336e-222,0.749,0.395
"Ifi30",1.72305471133427,1.06178210617691e-226,2.8413289161294e-222,0.737,0.436
"Arhgdib",1.15628069333648,6.12900847704434e-226,1.64012266845706e-221,0.847,0.598
"Lyz2",1.04289854733543,5.23546065839846e-224,1.40100927218743e-219,0.987,0.736
"Lst1",1.82162909198746,1.23478658153423e-223,3.30428889218559e-219,0.714,0.369
"Cd52",1.50897399247287,5.08226494185933e-220,1.36001409844156e-215,0.801,0.468
"Sptbn1",-1.76824673787889,1.19671154425104e-219,3.20240009241579e-215,0.533,0.804
"Gapdh",1.13583885934668,5.61174104472977e-219,1.50170190356969e-214,0.905,0.787
"Ms4a6d",1.90806231788968,6.17879986371469e-217,1.65344684353005e-212,0.674,0.35
"Col4a1",-2.66324503414321,1.95715405968594e-215,5.23734426371957e-211,0.146,0.503
"Coro1a",1.27836872084718,6.00487620862207e-214,1.60690487342727e-209,0.81,0.487
"Ccl6",1.63621047944394,1.1904530070239e-213,3.18565224679595e-209,0.832,0.455
"Cfp",1.84166370831286,4.22941198016057e-213,1.13179064589097e-208,0.665,0.311
"Ms4a6c",1.48057915162609,8.44896829869091e-213,2.26094391672969e-208,0.766,0.435
"Ctsc",1.25922901874507,1.17019245062853e-212,3.13143499788195e-208,0.831,0.506
"Ifi27l2a",1.46749145210964,1.59941738342512e-211,4.28004091804562e-207,0.932,0.671
"Ctss",1.17150785198172,2.73804748467307e-210,7.32701506898513e-206,0.847,0.515
"Ifitm2",1.01654357343429,6.20688568643523e-207,1.66096260969007e-202,0.939,0.885
"Cxcl13",6.96013843642302,1.2033339937275e-206,3.2201217672148e-202,0.289,0.004
"Spi1",1.30145843400324,3.20954083786283e-205,8.58873128212094e-201,0.776,0.45
"Clec4a1",1.65599898021757,4.15006644871558e-202,1.11055778167629e-197,0.696,0.365
"Zbtb20",-2.02193101414743,4.26819976354003e-199,1.14217025672331e-194,0.473,0.741
"Clec4a3",1.66773489734367,3.14170827149913e-197,8.40721133453167e-193,0.686,0.362
"Ucp2",1.01178436329062,3.3330140391651e-197,8.91914556880581e-193,0.886,0.638
"Sparc",-2.14185789222731,8.44472237993736e-196,2.25980770887124e-191,0.171,0.517
"Igfbp7",-2.21585154913031,2.05275300622056e-195,5.49316704464621e-191,0.161,0.505
"Clec4a2",1.67444752340665,3.9242546780106e-192,1.05013055183564e-187,0.687,0.364
"Macf1",-1.09990064714281,4.43198247206554e-191,1.18599850952474e-186,0.723,0.869
"Nfib",-2.51397793118849,5.5858182510884e-191,1.49476496399126e-186,0.119,0.453
